code|i94port_raw|i94port_state|i94port_bps|i94port_city
ALC|ALCAN, AK|AK|unknown|ALCAN
ANC|ANCHORAGE, AK|AK|unknown|ANCHORAGE
BAR|BAKER AAF - BAKER ISLAND, AK|AK|unknown|BAKER AAF - BAKER ISLAND
DAC|DALTONS CACHE, AK|AK|unknown|DALTONS CACHE
PIZ|DEW STATION PT LAY DEW, AK|AK|unknown|DEW STATION PT LAY DEW
DTH|DUTCH HARBOR, AK|AK|unknown|DUTCH HARBOR
EGL|EAGLE, AK|AK|unknown|EAGLE
FRB|FAIRBANKS, AK|AK|unknown|FAIRBANKS
HOM|HOMER, AK|AK|unknown|HOMER
HYD|HYDER, AK|AK|unknown|HYDER
JUN|JUNEAU, AK|AK|unknown|JUNEAU
5KE|KETCHIKAN, AK|AK|unknown|KETCHIKAN
KET|KETCHIKAN, AK|AK|unknown|KETCHIKAN
MOS|MOSES POINT INTERMEDIATE, AK|AK|unknown|MOSES POINT INTERMEDIATE
NIK|NIKISKI, AK|AK|unknown|NIKISKI
NOM|NOME, AK|AK|unknown|NOME
PKC|POKER CREEK, AK|AK|unknown|POKER CREEK
ORI|PORT LIONS SPB, AK|AK|unknown|PORT LIONS SPB
SKA|SKAGWAY, AK|AK|unknown|SKAGWAY
SNP|ST. PAUL ISLAND, AK|AK|unknown|ST. PAUL ISLAND
TKI|TOKEEN, AK|AK|unknown|TOKEEN
WRA|WRANGELL, AK|AK|unknown|WRANGELL
HSV|MADISON COUNTY - HUNTSVILLE, AL|AL|unknown|MADISON COUNTY - HUNTSVILLE
MOB|MOBILE, AL|AL|unknown|MOBILE
LIA|LITTLE ROCK, AR (BPS)|AR|(BPS)|LITTLE ROCK
ROG|ROGERS ARPT, AR|AR|unknown|ROGERS ARPT
DOU|DOUGLAS, AZ|AZ|unknown|DOUGLAS
LUK|LUKEVILLE, AZ|AZ|unknown|LUKEVILLE
MAP|MARIPOSA, CA|CA|unknown|MARIPOSA, CA
NAC|NACO, AZ|AZ|unknown|NACO
NOG|NOGALES, AZ|AZ|unknown|NOGALES
PHO|PHOENIX, AZ|AZ|unknown|PHOENIX
POR|PORTAL, AZ|AZ|unknown|PORTAL
SLU|SAN LUIS, AZ|AZ|unknown|SAN LUIS
SAS|SASABE, AZ|AZ|unknown|SASABE
TUC|TUCSON, AZ|AZ|unknown|TUCSON
YUI|YUMA, AZ|AZ|unknown|YUMA
AND|ANDRADE, CA|CA|unknown|ANDRADE
BUR|BURBANK, CA|CA|unknown|BURBANK
CAL|CALEXICO, CA|CA|unknown|CALEXICO
CAO|CAMPO, CA|CA|unknown|CAMPO
FRE|FRESNO, CA|CA|unknown|FRESNO
ICP|IMPERIAL COUNTY, CA|CA|unknown|IMPERIAL COUNTY
LNB|LONG BEACH, CA|CA|unknown|LONG BEACH
LOS|LOS ANGELES, CA|CA|unknown|LOS ANGELES
BFL|MEADOWS FIELD - BAKERSFIELD, CA|CA|unknown|MEADOWS FIELD - BAKERSFIELD
OAK|OAKLAND, CA|CA|unknown|OAKLAND
ONT|ONTARIO, CA|CA|unknown|ONTARIO
OTM|OTAY MESA, CA|CA|unknown|OTAY MESA
BLT|PACIFIC, HWY. STATION, CA|CA|unknown|PACIFIC, HWY. STATION
PSP|PALM SPRINGS, CA|CA|unknown|PALM SPRINGS
SAC|SACRAMENTO, CA|CA|unknown|SACRAMENTO
SLS|SALINAS, CA (BPS)|CA|(BPS)|SALINAS
SDP|SAN DIEGO, CA|CA|unknown|SAN DIEGO
SFR|SAN FRANCISCO, CA|CA|unknown|SAN FRANCISCO
SNJ|SAN JOSE, CA|CA|unknown|SAN JOSE
SLO|SAN LUIS OBISPO, CA|CA|unknown|SAN LUIS OBISPO
SLI|SAN LUIS OBISPO, CA (BPS)|CA|(BPS)|SAN LUIS OBISPO
SPC|SAN PEDRO, CA|CA|unknown|SAN PEDRO
SYS|SAN YSIDRO, CA|CA|unknown|SAN YSIDRO
SAA|SANTA ANA, CA|CA|unknown|SANTA ANA
STO|STOCKTON, CA (BPS)|CA|(BPS)|STOCKTON
TEC|TECATE, CA|CA|unknown|TECATE
TRV|TRAVIS-AFB, CA|CA|unknown|TRAVIS-AFB
APA|ARAPAHOE COUNTY, CO|CO|unknown|ARAPAHOE COUNTY
ASE|ASPEN, CO #ARPT|unknown|unknown|ASPEN, CO #ARPT
COS|COLORADO SPRINGS, CO|CO|unknown|COLORADO SPRINGS
DEN|DENVER, CO|CO|unknown|DENVER
DRO|LA PLATA - DURANGO, CO|CO|unknown|LA PLATA - DURANGO
BDL|BRADLEY INTERNATIONAL, CT|CT|unknown|BRADLEY INTERNATIONAL
BGC|BRIDGEPORT, CT|CT|unknown|BRIDGEPORT
GRT|GROTON, CT|CT|unknown|GROTON
HAR|HARTFORD, CT|CT|unknown|HARTFORD
NWH|NEW HAVEN, CT|CT|unknown|NEW HAVEN
NWL|NEW LONDON, CT|CT|unknown|NEW LONDON
TST|NEWINGTON DATA CENTER TEST, CT|CT|unknown|NEWINGTON DATA CENTER TEST
WAS|WASHINGTON DC|unknown|unknown|WASHINGTON DC
DOV|DOVER AFB, DE|DE|unknown|DOVER AFB
DVD|DOVER-AFB, DE|DE|unknown|DOVER-AFB
WLL|WILMINGTON, DE|DE|unknown|WILMINGTON
BOC|BOCAGRANDE, FL|FL|unknown|BOCAGRANDE
SRQ|BRADENTON - SARASOTA, FL|FL|unknown|BRADENTON - SARASOTA
CAN|CAPE CANAVERAL, FL|FL|unknown|CAPE CANAVERAL
DAB|DAYTONA BEACH INTERNATIONAL, FL|FL|unknown|DAYTONA BEACH INTERNATIONAL
FRN|FERNANDINA, FL|FL|unknown|FERNANDINA
FTL|FORT LAUDERDALE, FL|FL|unknown|FORT LAUDERDALE
FMY|FORT MYERS, FL|FL|unknown|FORT MYERS
FPF|FORT PIERCE, FL|FL|unknown|FORT PIERCE
HUR|HURLBURT FIELD, FL|FL|unknown|HURLBURT FIELD
GNV|J R ADDISON MUNI - GAINESVILLE, FL|FL|unknown|J R ADDISON MUNI - GAINESVILLE
