,code,i94port_raw,i94port_state,i94port_bps,i94port_city,place,city,city_ascii,state_id,state_name,county_fips,county_name,latitude,longitude,population,population_proper,density,source,incorporated,timezone,zips,id,city_ascii_upper,country,country_code,,,
121,BOI,"AIR TERM. (GOWEN FLD) BOISE, ID",ID,unknown,AIR TERM. (GOWEN FLD) BOISE,unknown,Boise,Boise,ID,Idaho,16001,Ada,43.6006,-116.2316,385218,226570,1067,polygon,TRUE,America/Boise,83703 83702 83706 83705 83704 83709 83716 83712 83713 83701 83708 83715 83717 83720 83722 83724 83725 83728 83729 83735 83756 83799,1840027142,,United States,US,,,
365,AGU,"AGUADILLA, PR",PR,unknown,AGUADILLA,unknown,Aguadilla,Aguadilla,PR,Puerto Rico,72005,Aguadilla,18.4382,-67.1536,,,2849.9,polygon,FALSE,America/Puerto_Rico,00603 00605,1630023617,AGUADILLA,United States,US,,,
366,BQN,"BORINQUEN - AGUADILLA, PR",PR,unknown,BORINQUEN - AGUADILLA,unknown,Aguadilla Zona Urbana,Aguadilla Zona Urbana,PR,Puerto Rico,72005,Aguadilla,18.4382,-67.1536,,,3611.6,polygon,FALSE,America/Puerto_Rico,00603 00605,1630035605,,United States,US,,,
89,GNV,"J R ADDISON MUNI - GAINESVILLE, FL",FL,unknown,J R ADDISON MUNI - GAINESVILLE,unknown,Gainesville,Gainesville,FL,Florida,12001,Alachua,29.6808,-82.3455,199695,132249,815,polygon,TRUE,America/New_York,32608 32612 32653 32609 32603 32601 32607 32605 32604 32610 32611 32614 32627 32635,1840014022,,United States,US,,,
46,OAK,"OAKLAND, CA",CA,unknown,OAKLAND,unknown,Oakland,Oakland,CA,California,6001,Alameda,37.7903,-122.2165,425195,425195,2937.0,polygon,TRUE,America/Los_Angeles,94621 94705 94704 94611 94610 94612 94619 94613 94618 94606 94607 94602 94603 94601 94605 94608 94609 94604 94614 94615 94617 94620 94622 94623 94624 94649 94659 94660 94661 94666,1840020296,OAKLAND,United States,US,,,
311,ALB,"ALBANY, NY",NY,unknown,ALBANY,unknown,Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,597270,98251,1773.0,polygon,TRUE,America/New_York,12208 12209 12204 12206 12207 12202 12203 12205 12210 12222 12201 12223 12226 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,1840000417,ALBANY,United States,US,,,
19,SNP,"ST. PAUL ISLAND, AK",AK,unknown,ST. PAUL ISLAND,unknown,Saint Paul,Saint Paul,AK,Alaska,2016,Aleutians West,57.1815,-170.2743,504,504,4,polygon,TRUE,America/Nome,99660,1840023264,SAINT PAUL,United States,US,,,
5,DTH,"DUTCH HARBOR, AK",AK,unknown,DUTCH HARBOR,Dutch Harbor,Unalaska,Unalaska,AK,Alaska,2016,Aleutians West,53.8984,-166.5680,4524,4524,16,polygon,TRUE,America/Nome,99692 99685,1840023260,,United States,US,,,
450,DAA,"DAVISON AAF - FAIRFAX CNTY, VA",VA,unknown,DAVISON AAF - FAIRFAX CNTY,unknown,Alexandria,Alexandria,VA,Virginia,51510,Alexandria (city),38.8185,-77.0861,160035,160035,4137,polygon,TRUE,America/New_York,22302 22301 22304 22305 22311 22314 22320 22331 22332 22333 22334,1840003837,,United States,US,,,
364,PIT,"PITTSBURGH, PA",PA,unknown,PITTSBURGH,unknown,Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny,40.4396,-79.9763,1715297.0,302407,2108,polygon,TRUE,America/New_York,15216 15217 15214 15212 15210 15211 15218 15219 15290 15232 15260 15233 15205 15204 15207 15206 15201 15203 15208 15224 15213 15234 15222 15221 15220 15226 15120 15230 15240 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15270 15272 15274 15279 15281 15282 15286 15289 15295,1840001254,,United States,US,,,
181,ALP,"ALPENA, MI",MI,unknown,ALPENA,unknown,Alpena,Alpena,MI,Michigan,26007,Alpena,45.074,-83.4399,13597,9997,472.0,polygon,TRUE,America/Detroit,49707,1840003947,ALPENA,United States,US,,,
1,ANC,"ANCHORAGE, AK",AK,unknown,ANCHORAGE,unknown,Anchorage,Anchorage,AK,Alaska,2020,Anchorage,61.1508,-149.1091,253421,294356,66.0,polygon,TRUE,America/Anchorage,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599 99693,1840023385,ANCHORAGE,United States,US,,,
155,BWM,"BRIDGEWATER, ME",ME,unknown,BRIDGEWATER,unknown,Bridgewater,Bridgewater,ME,Maine,23003,Aroostook,46.446617,-67.790642,610,610,15.7,polygon,FALSE,America/New_York,04735,,BRIDGEWATER,United States,US,,,
158,CRB,"CARIBOU, ME",ME,unknown,CARIBOU,unknown,Caribou,Caribou,ME,Maine,23003,Aroostook,46.8662,-67.9919,7684,7684,37.0,polygon,TRUE,America/New_York,04736,1840000145,CARIBOU,United States,US,,,
197,CAR,"CARIBOU MUNICIPAL AIRPORT, MN",MN,unknown,CARIBOU MUNICIPAL AIRPORT,unknown,Caribou,Caribou,ME,Maine,23003,Aroostook,46.8662,-67.9919,7684,7684,37,polygon,TRUE,America/New_York,4736,1840000145,,United States,US,,,
160,EST,"ESTCOURT, ME",ME,unknown,ESTCOURT,unknown,Estcourt,Estcourt,ME,Maine,23003,Aroostook,47.457824,-69.224966,,,,polygon,FALSE,America/New_York,04741,,,United States,US,,,
164,FTF,"FORT FAIRFIELD, ME",ME,unknown,FORT FAIRFIELD,unknown,Fort Fairfield,Fort Fairfield,ME,Maine,23003,Aroostook,46.7659,-67.8332,,,632.3,polygon,FALSE,America/New_York,04742,1840001910,FORT FAIRFIELD,United States,US,,,
165,FTK,"FORT KENT, ME",ME,unknown,FORT KENT,unknown,Fort Kent,Fort Kent,ME,Maine,23003,Aroostook,47.2535,-68.5893,,,270.3,polygon,FALSE,America/New_York,04743,1840001911,FORT KENT,United States,US,,,
166,HML,"HAMLIN, ME",ME,unknown,HAMLIN,unknown,Hamlin,Hamlin,ME,Maine,23003,Aroostook,47.067446,-67.807682,219,219,,polygon,FALSE,America/New_York,,,,United States,US,,,
167,HTM,"HOULTON, ME",ME,unknown,HOULTON,unknown,Houlton,Houlton,ME,Maine,23003,Aroostook,46.1215,-67.8322,,,1253.1,polygon,FALSE,America/New_York,04730,1840001912,HOULTON,United States,US,,,
170,LIM,"LIMESTONE, ME",ME,unknown,LIMESTONE,unknown,Limestone,Limestone,ME,Maine,23003,Aroostook,46.9112,-67.8308,,,454.3,polygon,FALSE,America/New_York,04750 04751,1840001913,LIMESTONE,United States,US,,,
172,MAD,"MADAWASKA, ME",ME,unknown,MADAWASKA,unknown,Madawaska,Madawaska,ME,Maine,23003,Aroostook,47.3432,-68.3308,,,118.3,polygon,FALSE,America/New_York,04756,1840001914,MADAWASKA,United States,US,,,
177,SPA,"ST PAMPHILE, ME",ME,unknown,ST PAMPHILE,unknown,unknown,unknown,ME,Maine,23003,Aroostook,46.942572,-69.750384,,,,,,America/New_York,,,,United States,US,,,
178,VNB,"VAN BUREN, ME",ME,unknown,VAN BUREN,unknown,Van Buren,Van Buren,ME,Maine,23003,Aroostook,47.1667,-67.9526,,,632.3,polygon,FALSE,America/New_York,04785,1840001915,VAN BUREN,United States,US,,,
342,ATB,"ASHTABULA, OH",OH,unknown,ASHTABULA,unknown,Ashtabula,Ashtabula,OH,Ohio,39007,Ashtabula,41.8806,-80.7984,27840,18144,901.0,polygon,TRUE,America/New_York,44004 44005,1840007046,ASHTABULA,United States,US,,,
295,ACY,"POMONA FIELD - ATLANTIC CITY, NJ",NJ,unknown,POMONA FIELD - ATLANTIC CITY,unknown,Atlantic City,Atlantic City,NJ,New Jersey,34001,Atlantic,39.3797,-74.4527,241363.0,38429,1379,polygon,TRUE,America/New_York,08401 08404 08405,1840003798,,United States,US,,,
150,BAL,"BALTIMORE, MD",MD,unknown,BALTIMORE,unknown,Baltimore,Baltimore,MD,Maryland,24510,Baltimore (city),39.3051,-76.6144,2170504,611648,2917.0,polygon,TRUE,America/New_York,21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21223 21201 21224 21225 21226 21229 21203 21233 21263 21264 21270 21273 21275 21278 21279 21281 21287 21290 21297 21298,1840001592,BALTIMORE,United States,US,,,
98,PAN,"PANAMA CITY, FL",FL,unknown,PANAMA CITY,unknown,Panama City,Panama City,FL,Florida,12005,Bay,30.1997,-85.6003,145239,36986,409.0,polygon,TRUE,America/Chicago,32401 32404 32405 32402 32412,1840015034,PANAMA CITY,United States,US,,,
182,BCY,"BAY CITY, MI",MI,unknown,BAY CITY,unknown,Bay City,Bay City,MI,Michigan,26017,Bay,43.5903,-83.8886,67059,33188,1260.0,polygon,TRUE,America/Detroit,48706 48708,1840002583,BAY CITY,United States,US,,,
507,BAY,"BAYFIELD, WI",WI,unknown,BAYFIELD,unknown,Bayfield,Bayfield,WI,Wisconsin,55007,Bayfield,46.8141,-90.8226,473,473,212.0,polygon,TRUE,America/Chicago,54814,1840003914,BAYFIELD,United States,US,,,
386,HON,"HOWES REGIONAL ARPT - HURON, SD",SD,unknown,HOWES REGIONAL ARPT - HURON,unknown,Huron,Huron,SD,South Dakota,46005,Beadle,44.3622,-98.2102,13164.0,13118,532,polygon,TRUE,America/Chicago,57350 57399,1840002373,,United States,US,,,
25,ROG,"ROGERS ARPT, AR",AR,unknown,ROGERS ARPT,unknown,Rogers,Rogers,AR,Arkansas,5007,Benton,36.3173,-94.1514,66430,66430,675,polygon,TRUE,America/Chicago,72758 72756 72718 72716 72757,1840014444,ROGERS,United States,US,,,
297,ABQ,"ALBUQUERQUE, NM",NM,unknown,ALBUQUERQUE,unknown,Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1053,-106.6464,758523,558545,1152.0,polygon,TRUE,America/Denver,87123 87121 87112 87113 87110 87111 87116 87114 87109 87108 87102 87105 87104 87107 87106 87120 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,1840019176,ALBUQUERQUE,United States,US,,,
438,SNA,"SAN ANTONIO, TX",TX,unknown,SAN ANTONIO,unknown,San Antonio,San Antonio,TX,Texas,48029,Bexar,29.4722,-98.5247,2002530,1511946,1266.0,polygon,TRUE,America/Chicago,78112 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78248 78231 78230 78233 78232 78235 78234 78237 78239 78238 78209 78109 78266 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78245 78247 78240 78242 78249 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229 78206 78236 78241 78246 78265 78268 78269 78270 78278 78279 78280 78283 78284 78285 78288 78289 78291 78292 78293 78294 78295 78296 78297 78298 78299,1840022220,SAN ANTONIO,United States,US,,,
251,TUR,"TURNER, MT",MT,unknown,TURNER,unknown,Turner,Turner,MT,Montana,30005,Blaine,48.8469,-108.4007,,,79.5,polygon,FALSE,America/Denver,59542,1840023754,TURNER,United States,US,,,
123,IDA,"FANNING FIELD - IDAHO FALLS, ID",ID,unknown,FANNING FIELD - IDAHO FALLS,unknown,Idaho Falls,Idaho Falls,ID,Idaho,16019,Bonneville,43.4868,-112.0363,97548,61076,1016,polygon,TRUE,America/Boise,83401 83402 83404 83415,1840018644,,United States,US,,,
262,ANT,"ANTLER, ND",ND,unknown,ANTLER,unknown,Antler,Antler,ND,North Dakota,38009,Bottineau,48.9713,-101.2832,28,28,58.0,polygon,TRUE,America/Chicago,58711,1840000002,ANTLER,United States,US,,,
263,CRY,"CARBURY, ND",ND,unknown,CARBURY,unknown,Carbury,Carbury,ND,North Dakota,38009,Bottineau,48.8908,-100.5446,,,5.7,point,FALSE,America/Chicago,58783,1840033042,CARBURY,United States,US,,,
280,WHO,"WESTHOPE, ND",ND,unknown,WESTHOPE,unknown,Westhope,Westhope,ND,North Dakota,38009,Bottineau,48.9112,-101.0175,408,408,487.0,polygon,TRUE,America/Chicago,58793,1840001853,WESTHOPE,United States,US,,,
122,EPI,"EASTPORT, ID",ID,unknown,EASTPORT,unknown,Eastport,Eastport,ID,Idaho,16021,Boundary,48.9994,-116.1813,,,8.7,point,FALSE,America/Los_Angeles,83826,1840027043,EASTPORT,United States,US,,,
124,PTL,"PORTHILL, ID",ID,unknown,PORTHILL,unknown,Porthill,Porthill,ID,Idaho,16021,Boundary,48.9983,-116.498,,,15.2,point,FALSE,America/Los_Angeles,83805,1840027044,PORTHILL,United States,US,,,
412,FPT,"FREEPORT, TX",TX,unknown,FREEPORT,unknown,Freeport,Freeport,TX,Texas,48039,Brazoria,28.9454,-95.3601,12169,12169,305.0,polygon,TRUE,America/Chicago,77541 77542,1840020974,FREEPORT,United States,US,,,
82,CAN,"CAPE CANAVERAL, FL",FL,unknown,CAPE CANAVERAL,unknown,Cape Canaveral,Cape Canaveral,FL,Florida,12009,Brevard,28.3934,-80.605,10413,10413,1799.0,polygon,TRUE,America/New_York,32920,1840015091,CAPE CANAVERAL,United States,US,,,
100,PCF,"PORT CANAVERAL, FL",FL,unknown,PORT CANAVERAL,unknown,Cape Canaveral,Cape Canaveral,FL,Florida,12009,Brevard,28.3934,-80.6050,10413,10413,1799,polygon,TRUE,America/New_York,32920,1840015091,,United States,US,,,
93,MLB,"MELBOURNE, FL",FL,unknown,MELBOURNE,unknown,Melbourne,Melbourne,FL,Florida,12009,Brevard,28.1084,-80.6628,82011,82011,717.0,polygon,TRUE,America/New_York,32935 32901 32903 32934 32904 32912 32919 32941,1840015960,MELBOURNE,United States,US,,,
397,BBP,"BIG BEND PARK, TX (BPS)",TX,(BPS),BIG BEND PARK,Boquillas Crossing Port of Entry,Big Bend National Park,Big Bend National Park,TX,Texas,48043,Brewster,29.190093,-102.946545,,,,,,America/Chicago,,,,United States,US,,,
85,FTL,"FORT LAUDERDALE, FL",FL,unknown,FORT LAUDERDALE,unknown,Fort Lauderdale,Fort Lauderdale,FL,Florida,12011,Broward,26.1412,-80.1464,180072,180072,2009.0,polygon,TRUE,America/New_York,33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394,1840014236,FORT LAUDERDALE,United States,US,,,
101,PEV,"PORT EVERGLADES, FL",FL,unknown,PORT EVERGLADES,unknown,Fort Lauderdale,Fort Lauderdale,FL,Florida,12011,Broward,26.1412,-80.1464,180072,180072,2009.0,polygon,TRUE,America/New_York,33301 33304 33305 33306 33308 33309 33334 33316 33315 33312 33311 33320 33336 33338 33339 33340 33346 33348 33394,1840014236,FORT LAUDERDALE,United States,US,,,
508,GRB,"GREEN BAY, WI",WI,unknown,GREEN BAY,unknown,Green Bay,Green Bay,WI,Wisconsin,55009,Brown,44.515,-87.9896,208625,105116,892.0,polygon,TRUE,America/Chicago,54311 54304 54302 54301 54303 54305 54306 54308,1840002344,GREEN BAY,United States,US,,,
274,NRG,"NORTHGATE, ND",ND,unknown,NORTHGATE,unknown,Northgate,Northgate,ND,North Dakota,38013,Burke,48.9909,-102.2621,,,3.9,point,FALSE,America/Chicago,58737,1840033086,NORTHGATE,United States,US,,,
291,WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",NJ,unknown,MC GUIRE AFB - WRIGHTSOWN,unknown,Wrightstown,Wrightstown,NJ,New Jersey,34005,Burlington,40.0258,-74.6317,785,785,163,polygon,TRUE,America/New_York,08640 08562,1840001481,,United States,US,,,
323,MAG,"MCGUIRE AFB, NY",NY,unknown,MCGUIRE AFB,unknown,Wrightstown,Wrightstown,NJ,New Jersey,34005,Burlington,40.0258,-74.6317,785,785,163,polygon,TRUE,America/New_York,08640 08562,1840001481,,United States,US,,,
447,LGU,"CACHE AIRPORT - LOGAN, UT",UT,unknown,CACHE AIRPORT - LOGAN,unknown,Logan,Logan,UT,Utah,49005,Cache,41.7402,-111.8419,100774.0,51115,1122,polygon,TRUE,America/Denver,84321 84341 84322,1840020108,,United States,US,,,
140,LKC,"LAKE CHARLES, LA",LA,unknown,LAKE CHARLES,unknown,Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu,30.203,-93.215,153633,77117,706.0,polygon,TRUE,America/Chicago,70605 70607 70601 70615 70602 70606 70609 70612 70616 70629,1840015039,LAKE CHARLES,United States,US,,,
141,LAK,"LAKE CHARLES, LA (BPS)",LA,(BPS),LAKE CHARLES,unknown,Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu,30.203,-93.215,153633,77117,706.0,polygon,TRUE,America/Chicago,70605 70607 70601 70615 70602 70606 70609 70612 70616 70629,1840015039,LAKE CHARLES,United States,US,,,
288,CNJ,"CAMDEN, NJ",NJ,unknown,CAMDEN,unknown,Camden,Camden,NJ,New Jersey,34007,Camden,39.9361,-75.1073,74532,74532,3226.0,polygon,TRUE,America/New_York,08104 08105 08102 08103 08101,1840001507,CAMDEN,United States,US,,,
401,BRO,"BROWNSVILLE, TX",TX,unknown,BROWNSVILLE,unknown,Brownsville,Brownsville,TX,Texas,48061,Cameron,25.998,-97.4565,227883,183299,534.0,polygon,TRUE,America/Matamoros,78521 78520 78526 78575 78578,1840019743,BROWNSVILLE,United States,US,,,
440,VIB,"VETERAN INTL BRIDGE, TX",TX,unknown,VETERAN INTL BRIDGE,Veterans International Bridge,Brownsville,Brownsville,TX,Texas,48061,Cameron,25.887837,-97.475887,227883.0,183299,534,polygon,TRUE,America/Matamoros,78521 78520 78526 78575 78578,1840019743,,United States,US,,,
414,HLG,"HARLINGEN, TX",TX,unknown,HARLINGEN,unknown,Harlingen,Harlingen,TX,Texas,48061,Cameron,26.1917,-97.6977,136968,65467,631.0,polygon,TRUE,America/Chicago,78550 78552 78551 78553,1840021036,HARLINGEN,United States,US,,,
423,IND,"LOS INDIOS, TX",TX,unknown,LOS INDIOS,unknown,Los Indios,Los Indios,TX,Texas,48061,Cameron,26.0493,-97.7351,1062,1062,218.0,polygon,TRUE,America/Chicago,78586 78567,1840022265,LOS INDIOS,United States,US,,,
424,LOI,"LOS INDIOS, TX",TX,unknown,LOS INDIOS,unknown,Los Indios,Los Indios,TX,Texas,48061,Cameron,26.0493,-97.7351,1062,1062,218.0,polygon,TRUE,America/Chicago,78586 78567,1840022265,LOS INDIOS,United States,US,,,
